state,date,admissions
MA,6/15/2021,0
WY,6/13/2021,2
LA,6/6/2021,1
RI,6/4/2021,0
KS,6/3/2021,0
ME,6/3/2021,0
RI,6/2/2021,0
ME,5/30/2021,0
RI,5/30/2021,0
MS,5/28/2021,1
RI,5/28/2021,0
RI,5/27/2021,0
SD,5/26/2021,0
RI,5/25/2021,0
RI,5/24/2021,0
ME,5/23/2021,0
RI,5/23/2021,0
ID,5/21/2021,0
ND,5/20/2021,0
RI,5/20/2021,0
AK,5/19/2021,1
NE,5/19/2021,0
NE,5/18/2021,1
RI,5/18/2021,0
NE,5/16/2021,0
NH,5/14/2021,0
NH,5/13/2021,0
DC,5/12/2021,0
MN,5/11/2021,0
RI,5/11/2021,0
NE,5/9/2021,0
LA,5/7/2021,0
IA,5/6/2021,0
ID,5/5/2021,0
ND,5/5/2021,0
AK,5/4/2021,1
LA,5/3/2021,1
NM,5/2/2021,0
NV,4/30/2021,1
WY,4/30/2021,0
IA,4/29/2021,1
IA,4/27/2021,0
RI,4/24/2021,0
RI,4/23/2021,0
LA,4/22/2021,0
WY,4/22/2021,0
WY,4/20/2021,0
NH,4/19/2021,0
SD,4/19/2021,0
CO,4/18/2021,0
IA,4/17/2021,0
MT,4/17/2021,0
HI,4/15/2021,0
AK,4/14/2021,0
IA,4/14/2021,1
AK,4/13/2021,0
NH,4/13/2021,0
AK,4/10/2021,0
WY,4/10/2021,0
WY,4/9/2021,0
DE,4/8/2021,0
NH,4/8/2021,0
NM,4/7/2021,2
KS,4/6/2021,0
AK,4/5/2021,0
MT,4/5/2021,0
AK,4/3/2021,0
NC,4/3/2021,0
WY,4/3/2021,0
ID,4/2/2021,0
ME,4/2/2021,0
WY,4/2/2021,0
NM,4/1/2021,0
AK,3/31/2021,0
MS,3/30/2021,0
NV,3/30/2021,1
MT,3/29/2021,0
MA,3/28/2021,0
WV,3/28/2021,0
NH,3/27/2021,0
ME,3/26/2021,0
NE,3/26/2021,0
DC,3/24/2021,0
NM,3/24/2021,0
MA,3/17/2021,1
KS,2/23/2021,0
RI,2/18/2021,0
OR,2/13/2021,0
CT,2/5/2021,0
ME,2/2/2021,0
KS,1/26/2021,0
MA,1/20/2021,1
SD,1/20/2021,1
MD,1/17/2021,0
AK,1/13/2021,0
ND,1/13/2021,0
RI,1/13/2021,0
RI,1/10/2021,0
MN,1/9/2021,0
SD,1/8/2021,0
PR,1/7/2021,6
OR,1/6/2021,0
RI,1/1/2021,0
RI,12/31/2020,0
MN,12/30/2020,0
RI,12/30/2020,0
PR,12/29/2020,0
SC,12/17/2020,2
LA,12/10/2020,2
VT,10/16/2020,
VI,10/15/2020,
RI,10/14/2020,
VI,10/13/2020,
WY,10/11/2020,
VI,10/9/2020,
VI,10/8/2020,
AK,10/5/2020,
VI,10/5/2020,
VI,10/3/2020,
VI,10/1/2020,
VT,10/1/2020,
RI,9/30/2020,
VI,9/29/2020,
WV,9/28/2020,
VI,9/26/2020,
VI,9/22/2020,
VT,9/22/2020,
VI,9/21/2020,
VT,9/10/2020,
VI,9/9/2020,
AK,9/8/2020,
RI,9/2/2020,
VT,8/29/2020,
RI,8/28/2020,
AK,8/27/2020,
VI,8/25/2020,
VI,8/24/2020,
VI,8/23/2020,
VT,8/22/2020,
NJ,8/21/2020,
VI,8/20/2020,
DE,8/18/2020,
NH,8/17/2020,
VI,8/15/2020,
VT,8/8/2020,
WV,8/2/2020,
RI,7/31/2020,
NE,7/29/2020,
NE,7/28/2020,
PR,7/26/2020,
ID,7/24/2020,
CT,7/23/2020,
ND,7/22/2020,
VI,7/19/2020,
ND,7/15/2020,
OK,7/15/2020,
ID,7/10/2020,
NM,7/1/2020,
KY,6/22/2020,
NC,6/16/2020,
MT,6/14/2020,
MT,6/13/2020,
MS,6/4/2020,
MT,5/11/2020,
MD,5/5/2020,
NJ,4/25/2020,
VA,3/28/2020,
NJ,3/27/2020,
VA,3/24/2020,
VT,3/23/2020,
VT,3/21/2020,
NJ,3/15/2020,
WI,3/8/2020,
NJ,3/6/2020,
AL,2/19/2020,
AL,2/7/2020,
MN,1/27/2020,
AL,1/2/2020,
LA,1/1/2020,
VI,5/23/2022,0
AS,5/22/2022,0
VI,5/22/2022,0
WY,5/22/2022,0
VI,5/21/2022,0
AS,5/20/2022,0
VI,5/20/2022,0
AS,5/19/2022,0
VI,5/18/2022,0
AS,5/17/2022,0
VI,5/17/2022,0
AS,5/16/2022,0
VI,5/15/2022,0
AS,5/14/2022,0
VI,5/14/2022,0
AS,5/13/2022,0
WY,5/13/2022,0
AS,5/12/2022,0
VI,5/12/2022,0
AS,5/11/2022,0
AK,5/9/2022,2
AS,5/9/2022,0
VI,5/9/2022,0
WY,5/9/2022,1
VI,5/7/2022,0
AS,5/6/2022,0
VI,5/6/2022,0
AS,5/5/2022,0
VI,5/5/2022,0
VI,5/4/2022,0
AS,5/3/2022,0
WY,5/2/2022,0
AS,5/1/2022,0
VI,5/1/2022,0
AS,4/30/2022,0
VI,4/29/2022,0
AS,4/28/2022,0
VI,4/28/2022,0
AS,4/27/2022,0
WY,4/27/2022,3
AS,4/26/2022,0
VI,4/26/2022,0
WY,4/26/2022,0
UT,4/24/2022,1
AS,4/23/2022,0
VI,4/23/2022,0
AS,4/22/2022,0
VI,4/21/2022,0
AS,4/20/2022,0
VI,4/20/2022,0
AS,4/19/2022,0
AS,4/18/2022,0
AS,4/17/2022,0
SD,4/17/2022,0
AS,4/16/2022,0
AS,4/15/2022,0
VI,4/15/2022,0
UT,4/14/2022,3
AS,4/13/2022,0
VI,4/13/2022,0
AS,4/12/2022,0
VI,4/12/2022,0
VI,4/11/2022,0
AS,4/9/2022,0
VI,4/9/2022,0
AS,4/8/2022,0
VI,4/8/2022,0
WY,4/8/2022,2
VI,4/7/2022,0
AS,4/6/2022,0
VI,4/6/2022,0
AS,4/5/2022,0
VI,4/4/2022,0
AS,4/3/2022,0
AS,4/2/2022,0
VI,3/31/2022,0
AS,3/30/2022,0
AS,3/28/2022,0
VT,3/28/2022,0
AS,3/27/2022,0
